App Title,Rep Code
   Plannarly, AL01
   Atmos Weather, AL03
   Dadify, AL04
   ASLify, AL05
   Hook-ED, AL06
   LookingGlass, AL07
   Nutritional Content Intake Calc, AK00
   No Narcotics, AZ02
   IrriSmart, AZ05
   Bubble Map, AZ06
   Key Master, AZ07
   Project Toy Exchange, AZ08
   RxAdvisor, AR01
   College Checklist, AR02
   The Legend of Mathematics, AR03
   StreBit, AR04
   MatheX, CA02
   Carbon Counter, CA05
   Tortle, CA07
   CashCalc, CA08
   MyAche, CA09
   Impact, CA10
   TrueDetect, CA11
   SkinChem, CA12
   Pocket Congress, CA13
   Utrition, CA14
   Happy Hub, CA15
   BerriBasket, CA17
   Signer, CA18
   Sign Talk, CA19
   Pill Alarm, CA20
   San Joaquin Valley Snacks, CA21
   One Connected, CA24
   College Major Recommender, CA25
   VetConnect, CA26
   PCPosture, CA27
   Addvent, CA28
   Admonere, CA29
   Rhythm Reader, CA30
   AI Golf Coach, CA31
   Let's Bear This Together!, CA32
   AtaxiaV, CA33
   Aqua Manager, CA34
   Affordable Crowd-Funded Earthquake Early Warning System, CA39
   The tradional Cure vs The Modern Medicine, CA41
   Foresight, CA42
   HALO, CA45
   MnewNote, CA46
   EcoTakeOut, CA47
   Impact, CA48
   TeenSpace, CA49
   Helping Hands, CA52
   RecyLink, CA53
   Check-In, CO02
   Tomorrow's Voices, CO03
   Swim Meet Tracker, CO04
   FBLA Lettering Points Application, CO06
   Pastelia Development, CO07
   The Help Desk, CT01
   Pomket, CT02
   Stress Scope, CT03
   DETICKT, CT04
   ParkinSense, CT05
   Recycle Pro, DE00
   Hiker Hunt, DC00
   Coastal, FL01
   Vocab Master, FL02
   PlanIt, FL03
   Chow, FL04
   School Project, FL07
   Pirate Physics, FL09
   Foodfreedom, FL10
   Flourish, FL11
   Schedulr, FL12
   Career Exploration, FL14
   myRx, FL15
   ClassTranslate, FL16
   VisionBound, FL19
   FAIK, FL21
   Basal Metabolic Rate, FL23
